Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_170045_20160614_20200906_02_T1,LC08_L1TP_170045_20160614_20200906_02_T1,LC81700452016166LGN01,2016/06/14,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/06,2020/09/06,2016-06-14 07:48:35.997752,2016-06-14 07:49:07.767749,LGN,DAY,   0.43,   7.70,601,5,    6.066,    3.089,    5.221,LPGS_15.3.1c,67.99407036,81.26075428,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.23"N,39°05'20.11"E,22°42'59.47"N,37°58'42.82"E,22°42'54.97"N,40°12'05.58"E,20°36'48.67"N,37°59'35.74"E,20°36'44.60"N,40°11'03.34"E, 21.67173,  39.08892, 22.71652,  37.97856, 22.71527,  40.20155, 20.61352,  37.99326, 20.61239,  40.18426,LC08_L2SP_170045_20160614_20200906_02_T1,LC81700452016166LGN01
LC08_L2SP_170045_20160630_20200906_02_T1,LC08_L1TP_170045_20160630_20200906_02_T1,LC81700452016182LGN01,2016/06/30,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/06,2020/09/06,2016-06-30 07:48:44.621997,2016-06-30 07:49:16.391994,LGN,DAY,   4.60,  10.90,498,5,    6.478,    3.554,    5.416,LPGS_15.3.1c,67.24068919,81.63127954,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.98"N,39°04'49.44"E,22°42'59.26"N,37°58'11.28"E,22°42'55.19"N,40°11'34.04"E,20°36'38.74"N,37°59'04.70"E,20°36'35.06"N,40°10'32.16"E, 21.67166,  39.08040, 22.71646,  37.96980, 22.71533,  40.19279, 20.61076,  37.98464, 20.60974,  40.17560,LC08_L2SP_170045_20160630_20200906_02_T1,LC81700452016182LGN01
LC08_L2SP_170045_20160716_20200906_02_T1,LC08_L1TP_170045_20160716_20200906_02_T1,LC81700452016198LGN01,2016/07/16,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/06,2020/09/06,2016-07-16 07:48:51.793941,2016-07-16 07:49:23.563938,LGN,DAY,   0.82,   3.22,590,5,    5.857,    3.033,    5.010,LPGS_15.3.1c,66.60292425,86.30030346,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'16.93"N,39°04'33.71"E,22°42'59.11"N,37°57'50.26"E,22°42'55.33"N,40°11'13.02"E,20°36'38.59"N,37°58'44"E,20°36'35.21"N,40°10'11.42"E, 21.67137,  39.07603, 22.71642,  37.96396, 22.71537,  40.18695, 20.61072,  37.97889, 20.60978,  40.16984,LC08_L2SP_170045_20160716_20200906_02_T1,LC81700452016198LGN01
LC08_L2SP_170045_20160801_20200906_02_T1,LC08_L1TP_170045_20160801_20200906_02_T1,LC81700452016214LGN01,2016/08/01,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/06,2020/09/06,2016-08-01 07:48:55.396825,2016-08-01 07:49:27.166822,LGN,DAY,  97.29,  92.78,143,5,    7.576,    5.041,    5.655,LPGS_15.3.1c,66.01764496,94.62898201,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.40"N,39°05'03.95"E,22°42'59.33"N,37°58'21.79"E,22°42'55.12"N,40°11'44.56"E,20°36'38.77"N,37°59'15.07"E,20°36'34.99"N,40°10'42.53"E, 21.67150,  39.08443, 22.71648,  37.97272, 22.71531,  40.19571, 20.61077,  37.98752, 20.60972,  40.17848,LC08_L2SP_170045_20160801_20200906_02_T1,LC81700452016214LGN01
LC08_L2SP_170045_20160817_20200906_02_T1,LC08_L1TP_170045_20160817_20200906_02_T1,LC81700452016230LGN01,2016/08/17,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/06,2020/09/06,2016-08-17 07:48:59.221645,2016-08-17 07:49:30.991642,LGN,DAY,  12.74,  23.54,560,5,    5.417,    3.449,    4.177,LPGS_15.3.1c,65.10906573,105.71371220,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.12"N,39°05'19.61"E,22°42'59.47"N,37°58'42.82"E,22°42'54.97"N,40°12'05.58"E,20°36'48.67"N,37°59'35.74"E,20°36'44.60"N,40°11'03.34"E, 21.67170,  39.08878, 22.71652,  37.97856, 22.71527,  40.20155, 20.61352,  37.99326, 20.61239,  40.18426,LC08_L2SP_170045_20160817_20200906_02_T1,LC81700452016230LGN01
LC08_L2SP_170045_20160902_20200906_02_T1,LC08_L1TP_170045_20160902_20200906_02_T1,LC81700452016246LGN01,2016/09/02,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/06,2020/09/06,2016-09-02 07:49:05.790378,2016-09-02 07:49:37.560375,LGN,DAY,   0.96,   1.10,567,5,    5.529,    3.598,    4.197,LPGS_15.3.1c,63.41318238,118.11305135,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'16.86"N,39°04'41.09"E,22°42'59.18"N,37°58'00.77"E,22°42'55.26"N,40°11'23.53"E,20°36'38.66"N,37°58'54.37"E,20°36'35.14"N,40°10'21.79"E, 21.67135,  39.07808, 22.71644,  37.96688, 22.71535,  40.18987, 20.61074,  37.98177, 20.60976,  40.17272,LC08_L2SP_170045_20160902_20200906_02_T1,LC81700452016246LGN01
LC08_L2SP_170045_20160918_20200906_02_T1,LC08_L1TP_170045_20160918_20200906_02_T1,LC81700452016262LGN01,2016/09/18,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/06,2020/09/06,2016-09-18 07:49:08.407513,2016-09-18 07:49:40.17751,LGN,DAY,   8.10,   4.58,562,5,    5.560,    3.885,    3.978,LPGS_15.3.1c,60.63603906,129.99765790,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.30"N,39°04'47.71"E,22°42'59.18"N,37°58'00.77"E,22°42'55.19"N,40°11'34.04"E,20°36'48.42"N,37°58'54.30"E,20°36'44.82"N,40°10'32.23"E, 21.67175,  39.07992, 22.71644,  37.96688, 22.71533,  40.19279, 20.61345,  37.98175, 20.61245,  40.17562,LC08_L2SP_170045_20160918_20200906_02_T1,LC81700452016262LGN01
LC08_L2SP_170045_20161004_20200906_02_T1,LC08_L1TP_170045_20161004_20200906_02_T1,LC81700452016278LGN01,2016/10/04,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/06,2020/09/06,2016-10-04 07:49:10.168163,2016-10-04 07:49:41.93816,LGN,DAY,   0.00,   0.03,641,5,    4.208,    2.716,    3.214,LPGS_15.3.1c,56.84056310,139.85638194,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.54"N,39°04'51.31"E,22°42'59.26"N,37°58'11.28"E,22°42'55.19"N,40°11'34.04"E,20°36'38.74"N,37°59'04.70"E,20°36'35.06"N,40°10'32.16"E, 21.67154,  39.08092, 22.71646,  37.96980, 22.71533,  40.19279, 20.61076,  37.98464, 20.60974,  40.17560,LC08_L2SP_170045_20161004_20200906_02_T1,LC81700452016278LGN01
LC08_L2SP_170045_20161020_20200905_02_T1,LC08_L1TP_170045_20161020_20200905_02_T1,LC81700452016294LGN01,2016/10/20,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/05,2020/09/05,2016-10-20 07:49:14.865061,2016-10-20 07:49:46.635058,LGN,DAY,   0.00,   0.11,616,5,    4.454,    3.096,    3.202,LPGS_15.3.1c,52.41903143,147.00988615,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.80"N,39°03'54.54"E,22°42'58.86"N,37°57'08.17"E,22°42'55.66"N,40°10'30.97"E,20°36'38.34"N,37°58'02.53"E,20°36'35.50"N,40°09'29.99"E, 21.67161,  39.06515, 22.71635,  37.95227, 22.71546,  40.17527, 20.61065,  37.96737, 20.60986,  40.15833,LC08_L2SP_170045_20161020_20200905_02_T1,LC81700452016294LGN01
LC08_L2SP_170045_20161105_20200905_02_T1,LC08_L1TP_170045_20161105_20200905_02_T1,LC81700452016310LGN01,2016/11/05,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/05,2020/09/05,2016-11-05 07:49:14.721684,2016-11-05 07:49:46.491681,LGN,DAY,   3.25,   3.37,558,5,    4.895,    3.217,    3.689,LPGS_15.3.1c,47.91820324,151.43251009,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17"N,39°03'57.96"E,22°42'58.93"N,37°57'18.68"E,22°42'55.58"N,40°10'41.48"E,20°36'38.41"N,37°58'12.90"E,20°36'35.42"N,40°09'40.36"E, 21.67139,  39.06610, 22.71637,  37.95519, 22.71544,  40.17819, 20.61067,  37.97025, 20.60984,  40.16121,LC08_L2SP_170045_20161105_20200905_02_T1,LC81700452016310LGN01
LC08_L2SP_170045_20161121_20200905_02_T1,LC08_L1TP_170045_20161121_20200905_02_T1,LC81700452016326LGN01,2016/11/21,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/05,2020/09/05,2016-11-21 07:49:14.783344,2016-11-21 07:49:46.553341,LGN,DAY,   0.06,   0.35,599,5,    5.362,    3.411,    4.137,LPGS_15.3.1c,43.93070967,153.44247598,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.37"N,39°03'44.17"E,22°42'58.79"N,37°56'57.66"E,22°42'55.73"N,40°10'20.46"E,20°36'48.06"N,37°57'52.13"E,20°36'45.32"N,40°09'19.69"E, 21.67177,  39.06227, 22.71633,  37.94935, 22.71548,  40.17235, 20.61335,  37.96448, 20.61259,  40.15547,LC08_L2SP_170045_20161121_20200905_02_T1,LC81700452016326LGN01
LC08_L2SP_170045_20161207_20200905_02_T1,LC08_L1TP_170045_20161207_20200905_02_T1,LC81700452016342LGN02,2016/12/07,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/05,2020/09/05,2016-12-07 07:49:12.960172,2016-12-07 07:49:44.730169,LGN,DAY,   0.07,   3.89,599,5,    5.803,    3.492,    4.635,LPGS_15.3.1c,40.98113694,153.43286503,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.34"N,39°03'46.69"E,22°42'58.86"N,37°57'08.17"E,22°42'55.66"N,40°10'30.97"E,20°36'48.10"N,37°58'02.46"E,20°36'45.25"N,40°09'30.06"E, 21.67176,  39.06297, 22.71635,  37.95227, 22.71546,  40.17527, 20.61336,  37.96735, 20.61257,  40.15835,LC08_L2SP_170045_20161207_20200905_02_T1,LC81700452016342LGN02
LC08_L2SP_170045_20161223_20200905_02_T1,LC08_L1TP_170045_20161223_20200905_02_T1,LC81700452016358LGN02,2016/12/23,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/05,2020/09/05,2016-12-23 07:49:08.472048,2016-12-23 07:49:40.242045,LGN,DAY,   0.22,   0.20,557,5,    5.398,    3.366,    4.220,LPGS_15.3.1c,39.49011311,151.84941202,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.54"N,39°04'16.64"E,22°42'59.04"N,37°57'39.71"E,22°42'55.44"N,40°11'02.51"E,20°36'48.31"N,37°58'33.56"E,20°36'45.04"N,40°10'01.16"E, 21.67154,  39.07129, 22.71640,  37.96103, 22.71540,  40.18403, 20.61342,  37.97599, 20.61251,  40.16699,LC08_L2SP_170045_20161223_20200905_02_T1,LC81700452016358LGN02
LC08_L2SP_170045_20170108_20200905_02_T1,LC08_L1TP_170045_20170108_20200905_02_T1,LC81700452017008LGN01,2017/01/08,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/05,2020/09/05,2017-01-08 07:49:05.666318,2017-01-08 07:49:37.436315,LGN,DAY,   6.60,  12.55,511,5,    6.770,    4.305,    5.225,LPGS_15.3.1c,39.68460100,149.08935931,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.47"N,39°03'51.80"E,22°42'58.86"N,37°57'08.17"E,22°42'55.66"N,40°10'30.97"E,20°36'38.34"N,37°58'02.53"E,20°36'35.50"N,40°09'29.99"E, 21.67152,  39.06439, 22.71635,  37.95227, 22.71546,  40.17527, 20.61065,  37.96737, 20.60986,  40.15833,LC08_L2SP_170045_20170108_20200905_02_T1,LC81700452017008LGN01
LC08_L2SP_170045_20170124_20200905_02_T1,LC08_L1TP_170045_20170124_20200905_02_T1,LC81700452017024LGN01,2017/01/24,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/05,2020/09/05,2017-01-24 07:49:00.545577,2017-01-24 07:49:32.315574,LGN,DAY,   8.85,  14.10,588,5,    5.524,    3.729,    4.075,LPGS_15.3.1c,41.59015881,145.50929684,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.59"N,39°04'01.13"E,22°42'58.93"N,37°57'18.68"E,22°42'55.58"N,40°10'41.48"E,20°36'48.17"N,37°58'12.83"E,20°36'45.18"N,40°09'40.43"E, 21.67183,  39.06698, 22.71637,  37.95519, 22.71544,  40.17819, 20.61338,  37.97023, 20.61255,  40.16123,LC08_L2SP_170045_20170124_20200905_02_T1,LC81700452017024LGN01
LC08_L2SP_170045_20170209_20200905_02_T1,LC08_L1TP_170045_20170209_20200905_02_T1,LC81700452017040LGN00,2017/02/09,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/05,2020/09/05,2017-02-09 07:48:52.105758,2017-02-09 07:49:23.875755,LGN,DAY,  68.42,  66.45,133,5,    7.270,    4.766,    5.490,LPGS_15.3.1c,45.00264400,141.29545064,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17"N,39°04'43.21"E,22°42'59.18"N,37°58'00.77"E,22°42'55.26"N,40°11'23.53"E,20°36'48.42"N,37°58'54.30"E,20°36'44.89"N,40°10'21.86"E, 21.67139,  39.07867, 22.71644,  37.96688, 22.71535,  40.18987, 20.61345,  37.98175, 20.61247,  40.17274,LC08_L2SP_170045_20170209_20200905_02_T1,LC81700452017040LGN00
LC08_L2SP_170045_20170225_20200905_02_T1,LC08_L1TP_170045_20170225_20200905_02_T1,LC81700452017056LGN03,2017/02/25,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/05,2020/09/05,2017-02-25 07:48:47.276576,2017-02-25 07:49:19.046573,LGN,DAY,   1.92,   6.49,620,5,    4.903,    3.217,    3.699,LPGS_15.3.1c,49.53616945,136.44099981,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.65"N,39°04'12.25"E,22°42'59"N,37°57'29.20"E,22°42'55.51"N,40°10'52"E,20°36'48.24"N,37°58'23.20"E,20°36'45.11"N,40°09'50.80"E, 21.67157,  39.07007, 22.71639,  37.95811, 22.71542,  40.18111, 20.61340,  37.97311, 20.61253,  40.16411,LC08_L2SP_170045_20170225_20200905_02_T1,LC81700452017056LGN03
LC08_L2SP_170045_20170313_20200904_02_T1,LC08_L1TP_170045_20170313_20200904_02_T1,LC81700452017072LGN00,2017/03/13,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/04,2020/09/04,2017-03-13 07:48:38.936806,2017-03-13 07:49:10.706803,LGN,DAY,  65.53,  63.08,234,5,    7.290,    4.849,    5.444,LPGS_15.3.1c,54.65835572,130.65909621,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'16.93"N,39°04'16.28"E,22°42'59"N,37°57'29.20"E,22°42'55.51"N,40°10'52"E,20°36'38.48"N,37°58'23.27"E,20°36'35.35"N,40°09'50.72"E, 21.67137,  39.07119, 22.71639,  37.95811, 22.71542,  40.18111, 20.61069,  37.97313, 20.60982,  40.16409,LC08_L2SP_170045_20170313_20200904_02_T1,LC81700452017072LGN00
LC08_L2SP_170045_20170329_20200904_02_T1,LC08_L1TP_170045_20170329_20200904_02_T1,LC81700452017088LGN00,2017/03/29,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/04,2020/09/04,2017-03-29 07:48:29.979921,2017-03-29 07:49:01.749918,LGN,DAY,   9.89,   5.86,449,5,    5.601,    3.776,    4.137,LPGS_15.3.1c,59.73370908,123.43030732,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.26"N,39°04'13.30"E,22°42'59"N,37°57'29.20"E,22°42'55.51"N,40°10'52"E,20°36'48.24"N,37°58'23.20"E,20°36'45.11"N,40°09'50.80"E, 21.67174,  39.07036, 22.71639,  37.95811, 22.71542,  40.18111, 20.61340,  37.97311, 20.61253,  40.16411,LC08_L2SP_170045_20170329_20200904_02_T1,LC81700452017088LGN00
LC08_L2SP_170045_20170414_20200904_02_T1,LC08_L1TP_170045_20170414_20200904_02_T1,LC81700452017104LGN00,2017/04/14,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/04,2020/09/04,2017-04-14 07:48:22.214416,2017-04-14 07:48:53.984413,LGN,DAY,   0.01,   0.10,578,5,    5.873,    3.728,    4.538,LPGS_15.3.1c,64.07129806,114.24387741,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.80"N,39°03'38.16"E,22°42'58.79"N,37°56'57.66"E,22°42'55.73"N,40°10'20.46"E,20°36'48.06"N,37°57'52.13"E,20°36'45.32"N,40°09'19.69"E, 21.67161,  39.06060, 22.71633,  37.94935, 22.71548,  40.17235, 20.61335,  37.96448, 20.61259,  40.15547,LC08_L2SP_170045_20170414_20200904_02_T1,LC81700452017104LGN00
LC08_L2SP_170045_20170430_20200904_02_T1,LC08_L1TP_170045_20170430_20200904_02_T1,LC81700452017120LGN00,2017/04/30,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/04,2020/09/04,2017-04-30 07:48:11.618706,2017-04-30 07:48:43.388704,LGN,DAY,   0.13,   0.58,571,5,    6.301,    3.668,    5.123,LPGS_15.3.1c,67.06506381,103.34885919,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.66"N,39°05'24.40"E,22°42'59.47"N,37°58'42.82"E,22°42'54.97"N,40°12'05.58"E,20°36'48.67"N,37°59'35.74"E,20°36'44.60"N,40°11'03.34"E, 21.67185,  39.09011, 22.71652,  37.97856, 22.71527,  40.20155, 20.61352,  37.99326, 20.61239,  40.18426,LC08_L2SP_170045_20170430_20200904_02_T1,LC81700452017120LGN00
LC08_L2SP_170045_20170516_20200904_02_T1,LC08_L1TP_170045_20170516_20200904_02_T1,LC81700452017136LGN00,2017/05/16,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/04,2020/09/04,2017-05-16 07:48:20.934183,2017-05-16 07:48:52.70418,LGN,DAY,  29.71,  57.21,575,5,    6.293,    3.599,    5.163,LPGS_15.3.1c,68.45937743,92.55328573,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.08"N,39°04'57.32"E,22°42'59.26"N,37°58'11.28"E,22°42'55.12"N,40°11'44.56"E,20°36'48.49"N,37°59'04.67"E,20°36'44.75"N,40°10'42.60"E, 21.67169,  39.08259, 22.71646,  37.96980, 22.71531,  40.19571, 20.61347,  37.98463, 20.61243,  40.17850,LC08_L2SP_170045_20170516_20200904_02_T1,LC81700452017136LGN00
LC08_L2SP_170045_20170601_20200903_02_T1,LC08_L1TP_170045_20170601_20200903_02_T1,LC81700452017152LGN00,2017/06/01,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/03,2020/09/03,2017-06-01 07:48:30.631631,2017-06-01 07:49:02.401629,LGN,DAY,   0.84,  11.48,579,5,    6.453,    3.567,    5.377,LPGS_15.3.1c,68.49503276,84.52612411,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.40"N,39°04'18.77"E,22°42'59.04"N,37°57'39.71"E,22°42'55.44"N,40°11'02.51"E,20°36'38.56"N,37°58'33.64"E,20°36'35.28"N,40°10'01.06"E, 21.67150,  39.07188, 22.71640,  37.96103, 22.71540,  40.18403, 20.61071,  37.97601, 20.60980,  40.16696,LC08_L2SP_170045_20170601_20200903_02_T1,LC81700452017152LGN00
LC08_L2SP_170045_20170617_20200903_02_T1,LC08_L1TP_170045_20170617_20200903_02_T1,LC81700452017168LGN00,2017/06/17,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/03,2020/09/03,2017-06-17 07:48:37.320407,2017-06-17 07:49:09.090405,LGN,DAY,   0.18,  10.42,593,5,    6.381,    3.415,    5.391,LPGS_15.3.1c,67.85240042,80.99406456,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.76"N,39°04'17.65"E,22°42'59.04"N,37°57'39.71"E,22°42'55.44"N,40°11'02.51"E,20°36'38.56"N,37°58'33.64"E,20°36'35.28"N,40°10'01.06"E, 21.67160,  39.07157, 22.71640,  37.96103, 22.71540,  40.18403, 20.61071,  37.97601, 20.60980,  40.16696,LC08_L2SP_170045_20170617_20200903_02_T1,LC81700452017168LGN00
LC08_L2SP_170045_20170703_20200903_02_T1,LC08_L1TP_170045_20170703_20200903_02_T1,LC81700452017184LGN00,2017/07/03,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/03,2020/09/03,2017-07-03 07:48:41.38083,2017-07-03 07:49:13.150828,LGN,DAY,   0.00,   0.00,596,5,    6.219,    3.376,    5.222,LPGS_15.3.1c,67.10098184,82.14399011,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.44"N,39°04'51.82"E,22°42'59.26"N,37°58'11.28"E,22°42'55.19"N,40°11'34.04"E,20°36'38.74"N,37°59'04.70"E,20°36'35.06"N,40°10'32.16"E, 21.67151,  39.08106, 22.71646,  37.96980, 22.71533,  40.19279, 20.61076,  37.98464, 20.60974,  40.17560,LC08_L2SP_170045_20170703_20200903_02_T1,LC81700452017184LGN00
LC08_L2SP_170045_20170719_20200903_02_T1,LC08_L1TP_170045_20170719_20200903_02_T1,LC81700452017200LGN00,2017/07/19,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/03,2020/09/03,2017-07-19 07:48:45.948291,2017-07-19 07:49:17.718289,LGN,DAY,   5.32,  18.11,504,5,    6.139,    3.427,    5.093,LPGS_15.3.1c,66.49051512,87.49109878,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.94"N,39°05'10.54"E,22°42'59.40"N,37°58'32.30"E,22°42'55.04"N,40°11'55.07"E,20°36'38.84"N,37°59'25.44"E,20°36'34.92"N,40°10'52.90"E, 21.67165,  39.08626, 22.71650,  37.97564, 22.71529,  40.19863, 20.61079,  37.99040, 20.60970,  40.18136,LC08_L2SP_170045_20170719_20200903_02_T1,LC81700452017200LGN00
LC08_L2SP_170045_20170804_20200903_02_T1,LC08_L1TP_170045_20170804_20200903_02_T1,LC81700452017216LGN00,2017/08/04,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/03,2020/09/03,2017-08-04 07:48:53.413359,2017-08-04 07:49:25.183357,LGN,DAY,   0.66,   1.73,601,5,    5.725,    3.341,    4.649,LPGS_15.3.1c,65.87632442,96.36345976,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.18"N,39°04'37.24"E,22°42'59.11"N,37°57'50.26"E,22°42'55.26"N,40°11'23.53"E,20°36'38.59"N,37°58'44"E,20°36'35.14"N,40°10'21.79"E, 21.67144,  39.07701, 22.71642,  37.96396, 22.71535,  40.18987, 20.61072,  37.97889, 20.60976,  40.17272,LC08_L2SP_170045_20170804_20200903_02_T1,LC81700452017216LGN00
LC08_L2SP_170045_20170820_20200903_02_T1,LC08_L1TP_170045_20170820_20200903_02_T1,LC81700452017232LGN01,2017/08/20,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/03,2020/09/03,2017-08-20 07:48:58.533712,2017-08-20 07:49:30.30371,LGN,DAY,   3.18,   1.62,538,5,    5.924,    4.075,    4.299,LPGS_15.3.1c,64.86639534,107.78710777,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.18"N,39°04'28.74"E,22°42'59.11"N,37°57'50.26"E,22°42'55.33"N,40°11'13.02"E,20°36'38.59"N,37°58'44"E,20°36'35.21"N,40°10'11.42"E, 21.67144,  39.07465, 22.71642,  37.96396, 22.71537,  40.18695, 20.61072,  37.97889, 20.60978,  40.16984,LC08_L2SP_170045_20170820_20200903_02_T1,LC81700452017232LGN01
LC08_L2SP_170045_20170905_20200903_02_T1,LC08_L1TP_170045_20170905_20200903_02_T1,LC81700452017248LGN00,2017/09/05,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/03,2020/09/03,2017-09-05 07:49:00.910952,2017-09-05 07:49:32.68095,LGN,DAY,   0.00,   0.01,641,5,    4.687,    2.996,    3.605,LPGS_15.3.1c,62.99600161,120.22203570,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.15"N,39°04'48.25"E,22°42'59.18"N,37°58'00.77"E,22°42'55.19"N,40°11'34.04"E,20°36'38.66"N,37°58'54.37"E,20°36'35.06"N,40°10'32.16"E, 21.67143,  39.08007, 22.71644,  37.96688, 22.71533,  40.19279, 20.61074,  37.98177, 20.60974,  40.17560,LC08_L2SP_170045_20170905_20200903_02_T1,LC81700452017248LGN00
LC08_L2SP_170045_20170921_20200903_02_T1,LC08_L1TP_170045_20170921_20200903_02_T1,LC81700452017264LGN01,2017/09/21,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/03,2020/09/03,2017-09-21 07:49:04.149034,2017-09-21 07:49:35.919032,LGN,DAY,   7.88,   8.42,494,5,    4.911,    3.221,    3.708,LPGS_15.3.1c,60.02939779,131.83903491,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.55"N,39°04'40.30"E,22°42'59.18"N,37°58'00.77"E,22°42'55.26"N,40°11'23.53"E,20°36'48.42"N,37°58'54.30"E,20°36'44.89"N,40°10'21.86"E, 21.67182,  39.07786, 22.71644,  37.96688, 22.71535,  40.18987, 20.61345,  37.98175, 20.61247,  40.17274,LC08_L2SP_170045_20170921_20200903_02_T1,LC81700452017264LGN01
